Filename,Cleaned_Parties
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,"['Armstrong Flooring, Inc.', 'AFI Licensing LLC,', 'AHF Holding, Inc.', 'Armstrong Hardwood Flooring Company']"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,"['Twentieth Century Fox Licensing & Merchandising', 'Sorrent, Inc']"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.pdf,"['Fox Mobile Entertainment', 'Glu Mobile, Inc. f/k/a Sorrent, Inc.']"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.pdf,"['Fox Mobile Entertainment, Inc.', 'Glu Mobile, Inc. f/k/a Sorrent, Inc.']"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.pdf,"['Fox Mobile Entertainment, Inc.', 'Glu Mobile Inc.']"
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.pdf,"['Beijing SINA Internet Information Service Co., Ltd', 'Beijing Yisheng Leju Information Services Co., Ltd']"
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2.pdf,"['Beijing SINA Internet Information Service Co.', 'Shanghai SINA Leju Information Technology Co. Ltd.']"
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,"['ABG-Shaq, LLC', ""Papa John's Marketing Fund, Inc"", ""Papa John's International, Inc""]"
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3.pdf,"['[]', '[]']"
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.pdf,"['Pizza Fusion Holding, Inc.', 'the individual or legal entity identified on the cover page']"
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,"['eFashion Solutions LLC', 'Playboy.com, Inc.']"
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2.pdf,"['Playboy.com, Inc.', 'Supplier']"
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,"['ScanSource, Inc.', 'Cisco Systems, Inc.']"
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.pdf,"['Customer', 'Cisco Systems, Inc. or its subsidiaries licensing the Software instead of Cisco Systems', 'Customer']"
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.pdf,"['DOT COM LLC', 'Pelican Delivers Inc.']"
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1.pdf,"['SEATTLE SOFTWARE DEVELOPERS, Inc.', 'PELICAN DELIVERS INC.']"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,"['Stremicks Heritage Foods, LLC', 'PREMIER NUTRITION CORPORATION']"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.pdf,"[""Stremick's Heritage Foods, LLC"", 'Premier Nutrition Corporation']"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.pdf,"['Stremicks Heritage Foods, LLC', 'Premier Nutrition Corporation']"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.pdf,"[""Stremick's Heritage Foods, LLC"", 'Premier Nutrition Corporation', 'Heritage and Premier']"
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,"['Slinger Bag Inc.', 'Aitan Zacharin']"
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF","['Kriomic, Inc', 'Gianluca Rotino']"
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,"['GROUPE PARAMEUS CORP', 'Sphere 3D Corp.']"
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,"['Global Technologies, Ltd', 'Timothy Cabrera', 'Company and Consultant']"
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,"['EMERALD HEALTH NATURALS, INC', 'DR. GAETANO MORELLO N.D. INC']"
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF","['Gunston Consulting, LLC', 'Medalist Diversified REIT, Inc.', 'CONSULTANT and Company']"
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF","['Driven Deliveries, Inc', 'TruckThat LLC', 'Company and Consultant']"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF","['Aduro Biotech, Inc', 'IREYA B.V']"
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,"['Immunotolerance, Inc.', 'Alan Crane']"
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF","['CORAL GOLD RESOURCED LTD.', 'INTERMARK CAPITAL CORP.']"
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,"['Pretzel Time, Inc. doing business as Pretzel Time', 'Franchisee']"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF","['Aduro Biotech, Inc.', 'IREYA B.V']"
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,"['Centrack International Inc.', 'i-on interactive Inc.']"
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,"['eGain Communications Corporation', 'Eliance Corporation']"
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.PDF,"['AstroNutrition.com', 'deep systems']"
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,"['Diplomat Direct Marketing Corporation', 'Tadeo E-Commerce Corp.']"
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.PDF,"['Transaction Applications Group, Inc.', 'Legacy Marketing Group, Inc.']"
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF,"['BW-3 FRANCHISE SYSTEMS, INC.', 'Franchisee']"
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF,"['The Bon-Ton Stores, Inc. and its associated chapter 11 debtors inpossession', 'GA Retail, Inc.', 'Tiger Capital Group, LLC', 'Wilmington Savings Fund Society, FSB', 'Purchaser and Merchant']"
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF","['Athens Bancshares Corporation', 'Athens Federal Community Bank', 'Keefe, bruyette & Woods, Inc.']"
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.PDF","['XACCT Technologies, Inc.', '[]']"
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.PDF,"['Wells Fargo Bank on behalf of Wells Fargo Mortgage Backed Securities 2006-6 Trust', 'UBS AG']"
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.PDF,"['Netzee, inc.', 'The Bankers Bank']"
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.PDF,"['SAGEM S.A.', 'XIMAGE corporation']"
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,"['[ * * * ]', 'TELCOSTAR PTE, LTD.', 'Ability Computer & Software Industries Ltd', 'TELCOSTAR PTE, LTD. and Ability Computer & Software Industries Ltd', 'Each of the foregoing parties is referred to herein as a “Party” and together as the “Parties”.']"
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.PDF,"['Nationwide Fund Management LLC', 'American United Life Insurance Company and OneAmerica Securities, Inc.']"
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,"['CURO RECEIVABLES FINANCE II, LLC', 'CURO MANAGEMENT, LLC']"
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,"['Blackstone / GSO Long-Short Credit Income Fund', 'Mellon Investor Services LLC operating with the service name BNY Mellon Shareowner Services']"
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF","['Oaktree Capital Management. L.P.', 'Oaktree Capital Management  Limited']"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF","['CRO Consultiong  Limited', 'Purinis Pharmaceuticals LLC']"
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,"['Clear Capital', 'Radial Spark, LLC']"
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,"['PFS Funds', 'Potomac Fund Management, Inc.']"
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,"['Idan Maimon', 'Intellisense Solutions Inc.']"
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,"['The Victory Portfolios', 'Hartford Life Insurance Co., Inc.']"
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,"['TransMontaigne Management Company, LLC', 'TLP Management Services, LLC']"
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,"['WPP 2005 LIMITED', 'JOHN ROGERS']"
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,"['BICYCLETX LIMITED', 'NIGEL CROCKETT']"
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,"['Fidelity Investments Institutional Operations Company, Inc.', 'New York Life Insurance and Annuity Corporation']"
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,"['Rise  Education Information Consulting Co., Ltd.', '[*]']"
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,"['PC Financial Services Private Limited', 'Mobimagic Co., Ltd.']"
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.PDF","['StartEngine Crowdfunding, Inc.', 'Solutions Vending International, Inc']"
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF","['Theravance Biopharma UK Limited', 'Brett Haumann']"
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,"['Domini Advisor Trust', 'Domini Social Investments LLC']"
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF","['R. C. Boyd Enterprises, LLC', 'Cano Petroleum, Inc.']"
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF","['TEKNIK DIGITAL ARTS INC.', 'RICK SMITH ENTERPRISES']"
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,"['Stallings Capital Group  Consultants, Ltd.', 'GAINSCO, INC.']"
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF","['iPayment, Inc.', 'First Data Merchant Services Corporation', 'Wells Fargo Bank, N.A.']"
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.PDF,"['PEEK Investments LLC', 'Platinum Partners Value Arbitrage Fund L.P', 'Snowy August Fund ILP']"
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.PDF,"['Intuit Inc.', 'Stamps.com Inc.']"
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.PDF,"['Forty Niners SC Stadium Company LLC', 'Violin Memory, Inc.', 'Forty Niners SC and Sponsor']"
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.PDF,"['XYBERNAUT CORPORATION', 'ALEX JOB RACING, INC.']"
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF","['Phoenix Performance, LLC', 'Torevic Inc.']"
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF,"['drkoop.com, inc.""drkoop.com""', 'Vitamin Shoppe Industries, Inc. ""Sponsor""']"
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,"['Excite, Inc.""Excite""', 'CyberShop ""Client""']"
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.PDF,"['J. Walter Thompson', 'iVillage, Inc.']"
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.PDF,"['Southern Racing Promotions, Inc.', ""Logan's Roadhouse, Inc.""]"
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.PDF,"['Football Northwest LLC,', 'Mercata, Inc.,']"
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,"['HYDRON TECHNOLOGIES, INC.', 'MIAMI DOLPHINS, LTD.']"
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,"['Excite, Inc.', 'N2K, Inc.']"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.PDF","['RMF Empire, In. DBA West Coast Customs', 'Bosch International, LLC / XLI Technologies, Inc.']"
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,"['Excite, Inc.', 'Vitamin Shoppe Industries Inc.']"
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF,"['Twin Cities Power Holdings, LLC', 'Redwater LLC']"
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,"['Virtual Item Processing Systems, Inc.', 'Brokers National Life Assurance Company']"
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,"['CCA Industries, Inc.', 'Emerson HealthCare, LLC']"
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,['DATEC  LIMITED )']
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,"['Nice Systems Ltc.', 'Flextronics Israel Ltd.']"
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,"['Sykes HealthPlan Services, Inc.', 'HealthPlan Services, Inc.']"
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,"['Tri City National Bank', 'Marshall & Ilsley Corporation']"
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,"['Oriental Financial Group Inc.', 'Melavante Corporation']"
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.PDF,['Modus Media International']
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.PDF,['Dolphin Industries Limited']
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,"[""Manufacturers' Services Western US Operations, Inc. )""]"
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,"['WYZZ, Inc. and WYZZ Licensee, Inc.', 'Peoria, L.L.C.']"
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.PDF","['E.PIPHANY, INC.', 'HIGH SPEED NET SOLUTIONS, INC.']"
"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc..PDF","['United National Bancorp', 'United National Bank', 'BISYS Group, Inc.']"
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,"['695014 B.C. Ltd. dba Galaxy Telecom', 'Galaxy Telnet SRL']"
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF,"['American Express Incentive Services, L.L.C.', 'Schoolpop, Inc.']"
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.PDF,"['McDATA Corporation', 'MTI Technology Corporation']"
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF","['MediaNet Group Technologies, Inc.', 'International Direct Response, Inc.']"
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.pdf,"['AZUL LINHAS AÉREAS BRASILEIRAS S/A', 'AVIONS DE TRANSPORT REGIONAL, G.I.E.', 'AZUL LINHAS AÉREAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E.']"
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,"['AZUL LINHAS AÉREAS BRASILEIRAS S/A', 'AVIONS DE TRANSPORT REGIONAL, G.I.E.', 'AZUL LINHAS AÉREAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E.']"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.pdf,"['Bank of America, N.A.', 'Supplier']"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.pdf,"['Cardlytics, Inc.', 'Bank of America, N.A']"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.pdf,"['Bank of America, N.A.', 'Cardlytics,']"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf,"['Cardlytics, Inc.', 'Bank of America, N.A.']"
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,"['Dundee Securities Ltd.', 'Kes 7 Capital Inc. and Bloom Burton & Co. Ltd.', 'Tribute Pharmaceuticals Canada Inc.']"
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.pdf,"['Tribute Pharmaceuticals Inc.', '[]', '[]', 'U.S. registered broker-dealer affiliate of the Agent']"
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,"['MediWound Ltd.', 'Challenge Bioproducts Corporation Ltd.']"
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.PDF,"['Integra LifeSciences Corporation', 'PcoMed, LLC']"
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,"['Profound Medical Inc.', 'Philips Medical Systems Nederland B.V.']"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF","['EWSD 1, LLC, d/b/a SHI FARMS', 'Gridiron BioNutrients', 'EWSD 1, LLC, d/b/a SHI FARMS and Gridiron BioNutrients']"
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF","['Miltenyi Biotec GmbH', 'Bellicum Phamaceuticals, Inc.', 'Miltenyi and Bellicum']"
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.PDF,"['Florida Chemical Company, LLC', 'Flotek Chemistry LLC']"
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.PDF,"['SOLANA PETROLEUM EXPLORATION  COLOMBIA LIMITED', 'ECOPETROL S.A.']"
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,"['Arkansas Western Pipeline Company', 'Associated Natural Gas Company']"
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,"['Purolator Courier Ltd.', 'Parcelway Courier Systems Canada Ltd. a subsidiary of Dynamex Inc.']"
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,"['Marathon Petroleum Company LP', 'Marathon Pipe Line LLC', 'Marathon Petroleum Company LP and Marathon Pipe Line LLC']"
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,"['JSC NOC KazakhOil', 'JSC Karakudukmunay', 'collectively referred to as ""Parties""']"
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.PDF,"['TENNESSEE GAS PIPELINE COMPANY', 'LOUISVILLE GAS AND ELECTRIC COMPANY', 'Transporter and Shipper shall collectively be referred to herein as the ""Parties"".']"
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.PDF,"['MacroGenics, Inc.', 'Green Cross Corp.', 'MacroGenics and Green Cross']"
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,"[""Xi'an Zhonghong New Energy Technology Co., Ltd."", 'Boxing County Chengli Gas Supply Co., Ltd.']"
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.PDF,"['Dazzle Interactive Network Technologies Co., Ltd.', 'Shenzhen iDreamSky Technology Co., Ltd.']"
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.PDF,"['Nanjing Tuniu Technology Co., Ltd.', 'Beijing Tuniu Technology Co., Ltd.']"
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF,"['Didi Chuxing Technology Co., Ltd.', 'Hunan Ruixi Financial Leasing Co., Ltd', 'Party A and Party B']"
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF","['Ginkgo Bioworks, Inc.', 'Berkely Lights, Inc.', 'Gingko and BLI']"
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF,"['Marv Enterprises, LLC', 'Premier Biomedical, Inc.', 'Technology Health, Inc.']"
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.PDF","['MiddleBrook Pharmaceuticals, Inc.', 'DoctorDirectory.com, Inc']"
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF","['ASHWORTH, INC.', 'JAMES W. NANTZ III', 'NANTZ COMMUNICATIONS, INC.']"
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.PDF,"['Charity Tunes Inc.', 'ConAgra Foods Canada  Inc.']"
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.PDF","['Whitesmoke Inc.', 'Google Inc']"
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,"['Go Call, Inc.', 'PageMaster Corporation']"
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,"['YA II PN, Ltd.', 'YA Global Investments II , Ltd.', 'Yorkville Advisors Global, LP', 'Yorkville Advisors Global II, LLC', 'YAII GP, LP', 'Yorkville Advisors GP, LLC', 'D-Beta One EQ, Ltd.', 'D-Beta One Blocker EQ, Ltd.', 'D-Beta One Growth and Opportunity Fund Offshore, LP', 'D-Beta One GP, LLC', 'Delta Beta Advisors, LP']"
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,"['Collectible Concepts Group, Inc.', 'Pivotal Self Service Tech, Inc.']"
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.PDF","['ATHENE ANNUITY AND LIFE COMPANY', 'ATHENE ANNUITY & LIFE ASSURANCE COMPANY', 'ATHENE USA CORPORATION', 'ATHENE LIFE RE LTD.', 'ATHENE HOLDING LTD.', 'APOLLO INSURANCE SOLUTIONS GROUP LP', 'AISG GP LTD.', 'APOLLO LIFE ASSET, L.P.', 'APOLLO LIFE ASSET GP, LLC.', 'APOLLO CAPITAL MANAGEMENT, L.P.', 'APOLLO CAPITAL MANAGEMENT GP, LLC', 'APOLLO MANAGEMENT HOLDINGS, L.P.', 'APOLLO MANAGEMENT HOLDINGS GP, LLC', 'OMAHA EQUITY AGGREGATOR, L.P.', 'AP OMAHA ADVISORS, LLC', 'APOLLO HYBRID VALUE ADVISORS, L.P.', 'APOLLO HYBRID VALUE CAPITAL MANAGEMENT, LLC', 'APH HOLDINGS, L.P.', 'APOLLO PRINCIPAL HOLDINGS III GP, LTD.']"
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT.PDF","['PRAIRIE ECI ACQUIROR LP', 'PRAIRIE NON-ECI ACQUIROR LP', 'PRAIRIE VCOC ACQUIROR LP', 'PRAIRIE SECONDARY ACQUIROR LP', 'PRAIRIE SECONDARY ACQUIROR E LP', 'BIP HOLDINGS MANAGER L.L.C.', 'BLACKSTONE INFRASTRUCTURE ASSOCIATES L.P.', 'BIA GP L.P.', 'BIA GP L.L.C.', 'BLACKSTONE HOLDINGS III L.P.']"
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.PDF","['CLARUS IV-A, L.P.', 'CLARUS IV-B, L.P.', 'CLARUS IV-C, L.P.', 'CLARUS IV-D, L.P.', 'CLARUS IV GP, L.P.', 'BLACKSTONE CLARUS GP L.P.', 'BLACKSTONE CLARUS GP L.L.C.', 'BLACKSTONE HOLDINGS I/II GP L.L.C.', 'THE BLACKSTONE GROUP INC.', 'BLACKSTONE GROUP MANAGEMENT L.L.C.']"
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.PDF,"['ChipMOS TECHNOLOGIES INC.', 'Tsinghua Unigroup Ltd.', 'ChipMOS and Tsinghua Unigroup shall collectively be referred to as the “Parties”']"
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF","['Bravatek Solutions', 'Sibannac Inc.']"
PLAYAHOTELS&RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).PDF,"['Hyatt Franchising Latin America, L.L.C.', 'Playa Hotels & Resorts, B.V.', 'Hyatt and Playa']"
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,"['VA Partners I, LLC, ValueAct Capital Master Fund, L.P., ValueAct Capital Management, L.P., ValueAct Capital Management, LLC, ValueAct Holdings, L.P.', 'Allison Transmission Holdings, Inc.', 'Gregory P. Spivy']"
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).PDF,"['Xencor, Inc', 'Boehringer Ingelheim International GmbH', 'BII and XENCOR']"
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.PDF,"['Janssen Biotech, Inc.', 'Immunomedics, Inc.']"
